ICTV_ID	Isolate_ID	Exemplar_Additional	Accession_Index	Segment_Name	Accession	Start_Loc	End_Loc	Sort	Isolate_Sort	Original_GENBANK_Accessions	Errors	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Virus_Names	accession_raw_file_name	accession_fa_file_name
ICTV202420188	VMR1028127	E	1		PP467602			1	1	PP467602		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Chiyouviridae		Wargodvirus		Wargodvirus xiongnu	Bathyarchaeia bifangarchaeales chiyouvirus 1	./fasta_new_vmr_b/Wargodvirus/PP467602.raw	./fasta_new_vmr_b/Wargodvirus/PP467602.fa
ICTV201908643	VMR1000002	E	1		MH447526			2	1	MH447526		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus beppuense	Sulfolobus filamentous virus 1	./fasta_new_vmr_b/Alphalipothrixvirus/MH447526.raw	./fasta_new_vmr_b/Alphalipothrixvirus/MH447526.fa
ICTV201908644	VMR1000001	E	1		MK064563			3	1	MK064563		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus umijigokuense	Sulfolobales Beppu filamentous virus 2	./fasta_new_vmr_b/Alphalipothrixvirus/MK064563.raw	./fasta_new_vmr_b/Alphalipothrixvirus/MK064563.fa
ICTV20094000	VMR1000003	E	1		AM087120			4	1	AM087120		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus acidiani	Acidianus filamentous virus 3	./fasta_new_vmr_b/Betalipothrixvirus/AM087120.raw	./fasta_new_vmr_b/Betalipothrixvirus/AM087120.fa
ICTV20041365	VMR1000008	E	1		AF440571			5	1	AF440571		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus hveragerdiense	Sulfolobus islandicus filamentous virus	./fasta_new_vmr_b/Betalipothrixvirus/AF440571.raw	./fasta_new_vmr_b/Betalipothrixvirus/AF440571.fa
ICTV20094002	VMR1000005	E	1		AM087122			6	1	AM087122		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pezzuloense	Acidianus filamentous virus 7	./fasta_new_vmr_b/Betalipothrixvirus/AM087122.raw	./fasta_new_vmr_b/Betalipothrixvirus/AM087122.fa
ICTV20094001	VMR1000004	E	1		AM087121			7	1	AM087121		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pozzuoliense	Acidianus filamentous virus 6	./fasta_new_vmr_b/Betalipothrixvirus/AM087121.raw	./fasta_new_vmr_b/Betalipothrixvirus/AM087121.fa
ICTV20094003	VMR1000006	E	1		AM087123			8	1	AM087123		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus puteoliense	Acidianus filamentous virus 8	./fasta_new_vmr_b/Betalipothrixvirus/AM087123.raw	./fasta_new_vmr_b/Betalipothrixvirus/AM087123.fa
ICTV20094004	VMR1000007	E	1		EU545650			9	1	EU545650		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus uzonense	Acidianus filamentous virus 9	./fasta_new_vmr_b/Betalipothrixvirus/EU545650.raw	./fasta_new_vmr_b/Betalipothrixvirus/EU545650.fa
ICTV201908645	VMR1000010	E	1		MK064564			10	1	MK064564		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus beppuense	Sulfolobales Beppu filamentous virus 3	./fasta_new_vmr_b/Deltalipothrixvirus/MK064564.raw	./fasta_new_vmr_b/Deltalipothrixvirus/MK064564.fa
ICTV20084110	VMR1000009	E	1		AJ854042			11	1	AJ854042		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus pozzuoliense	Acidianus filamentous virus 2	./fasta_new_vmr_b/Deltalipothrixvirus/AJ854042.raw	./fasta_new_vmr_b/Deltalipothrixvirus/AJ854042.fa
