ICTV_ID	Isolate_ID	Exemplar_Additional	Accession_Index	Segment_Name	Accession	Start_Loc	End_Loc	Sort	Isolate_Sort	Original_GENBANK_Accessions	Errors	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Virus_Names
ICTV202420188	VMR1028127	E	1		PP467602			1	1	PP467602		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Chiyouviridae		Wargodvirus		Wargodvirus xiongnu	Bathyarchaeia bifangarchaeales chiyouvirus 1
ICTV201908643	VMR1000002	E	1		MH447526			2	1	MH447526		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus beppuense	Sulfolobus filamentous virus 1
ICTV201908644	VMR1000001	E	1		MK064563			3	1	MK064563		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus umijigokuense	Sulfolobales Beppu filamentous virus 2
ICTV20094000	VMR1000003	E	1		AM087120			4	1	AM087120		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus acidiani	Acidianus filamentous virus 3
ICTV20041365	VMR1000008	E	1		AF440571			5	1	AF440571		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus hveragerdiense	Sulfolobus islandicus filamentous virus
ICTV20094002	VMR1000005	E	1		AM087122			6	1	AM087122		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pezzuloense	Acidianus filamentous virus 7
ICTV20094001	VMR1000004	E	1		AM087121			7	1	AM087121		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pozzuoliense	Acidianus filamentous virus 6
ICTV20094003	VMR1000006	E	1		AM087123			8	1	AM087123		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus puteoliense	Acidianus filamentous virus 8
ICTV20094004	VMR1000007	E	1		EU545650			9	1	EU545650		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus uzonense	Acidianus filamentous virus 9
ICTV201908645	VMR1000010	E	1		MK064564			10	1	MK064564		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus beppuense	Sulfolobales Beppu filamentous virus 3
